date,municipality,meteoalerta_zone,comarca,level,source_url
2023-08-23,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,red,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-08-23
2023-08-24,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,red,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-08-24
2023-08-25,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,red,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-08-25
2023-08-26,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,red,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-08-26
2023-08-27,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,red,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-08-27
2023-08-28,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,orange,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-08-28
2023-08-29,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,orange,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-08-29
2023-08-30,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,yellow,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-08-30
2023-08-31,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,yellow,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-08-31
2023-09-01,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,yellow,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-01
2023-09-02,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-02
2023-09-03,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-03
2023-09-04,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-04
2023-09-05,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-05
2023-09-06,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-06
2023-09-07,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-07
2023-09-08,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-08
2023-09-09,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,yellow,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-09
2023-09-10,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-10
2023-09-11,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-11
2023-09-12,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-12
2023-09-13,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-13
2023-09-14,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-14
2023-09-15,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-15
2023-09-16,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-16
2023-09-17,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-17
2023-09-18,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-18
2023-09-19,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-19
2023-09-20,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-20
2023-09-21,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-21
2023-09-22,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-22
2023-09-23,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-23
2023-09-24,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-24
2023-09-25,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-25
2023-09-26,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-26
2023-09-27,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-27
2023-09-28,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-28
2023-09-29,Castejón de Monegros,Muelas del Ebro - Alcubierre,Los Monegros,green,https://infoar.aragon.es/flamabk/indicesMeteo/napif-pdf/download?fecha=2023-09-29
